badge_order,is_visible
supercell_creator,1
supercell_basiccreator,1
supercell_supercreator,1
Creator,1
make_count,1
event_staff_besf,1
event_staff_smcy,1
event_staff_ns,1
event_staff_gkr,1
event_staff_crl,1
partner_xbow,1
partner_babydragon,1
partner_bats,1
partner_electrodragon,1
partner_minipekka,1
partner_oj,1
partner_goldenknight,1
partner_knight,1
partner_littleprince,1
partner_archer,1
partner_dartgoblin,1
partner_hogrider,1
partner_magicarcher,1
partner_pekka,1
YearsPlayed,1
PlayerXP,1
earnings,1
royaleapi_love_ramy,1
handsome,1
royaleapi_love_ofuy,1
royaleapi_love_offmetagod,1
royaleapi_beta,1
royaleapi_help,1
kitka_tourney_player,1
kitka_tourney_organizer,1
crl4_card_balloon_1,1
crl4_card_balloon_2,1
crl4_card_balloon_3,1
crl4_card_battle-ram_1,1
crl4_card_battle-ram_2,1
crl4_card_battle-ram_3,1
crl4_card_electro-giant_1,1
crl4_card_electro-giant_2,1
crl4_card_electro-giant_3,1
crl4_card_giant_1,1
crl4_card_giant_2,1
crl4_card_giant_3,1
crl4_card_goblin-barrel_1,1
crl4_card_goblin-barrel_2,1
crl4_card_goblin-barrel_3,1
crl4_card_goblin-drill_1,1
crl4_card_goblin-drill_2,1
crl4_card_goblin-drill_3,1
crl4_card_goblin-giant_1,1
crl4_card_goblin-giant_2,1
crl4_card_goblin-giant_3,1
crl4_card_golem_1,1
crl4_card_golem_2,1
crl4_card_golem_3,1
crl4_card_graveyard_1,1
crl4_card_graveyard_2,1
crl4_card_graveyard_3,1
crl4_card_hog-rider_1,1
crl4_card_hog-rider_2,1
crl4_card_hog-rider_3,1
crl4_card_lava-hound_1,1
crl4_card_lava-hound_2,1
crl4_card_lava-hound_3,1
crl4_card_mortar_1,1
crl4_card_mortar_2,1
crl4_card_mortar_3,1
crl4_card_ram-rider_1,1
crl4_card_ram-rider_2,1
crl4_card_ram-rider_3,1
crl4_card_royal-giant_1,1
crl4_card_royal-giant_2,1
crl4_card_royal-giant_3,1
crl4_card_royal-hogs_1,1
crl4_card_royal-hogs_2,1
crl4_card_royal-hogs_3,1
crl4_card_skeleton-barrel_1,1
crl4_card_skeleton-barrel_2,1
crl4_card_skeleton-barrel_3,1
crl4_card_wall-breakers_1,1
crl4_card_wall-breakers_2,1
crl4_card_wall-breakers_3,1
ccgs_2017_rank,1
crl4,1
crl4_finals,1
crl5,1
crl6,1
crl6_finals,1
crl7,1
crl7_finals,1
crl8,1
crl8_finals,1
crl4_card_balloon,1
crl4_card_battle-ram,1
crl4_card_electro-giant,1
crl4_card_giant,1
crl4_card_goblin-barrel,1
crl4_card_goblin-drill,1
crl4_card_goblin-giant,1
crl4_card_golem,1
crl4_card_graveyard,1
crl4_card_hog-rider,1
crl4_card_lava-hound,1
crl4_card_mortar,1
crl4_card_ram-rider,1
crl4_card_royal-giant,1
crl4_card_royal-hogs,1
crl4_card_skeleton-barrel,1
crl4_card_wall-breakers,1
crl6_card_balloon,1
crl6_card_battle-ram,1
crl6_card_electro-giant,1
crl6_card_elixir-golem,1
crl6_card_giant,1
crl6_card_goblin-barrel,1
crl6_card_goblin-drill,1
crl6_card_goblin-giant,1
crl6_card_golem,1
crl6_card_graveyard,1
crl6_card_hog-rider,1
crl6_card_lava-hound,1
crl6_card_mortar,1
crl6_card_mortar-ev1,1
crl6_card_ram-rider,1
crl6_card_royal-giant,1
crl6_card_royal-giant-ev1,1
crl6_card_royal-hogs,1
crl6_card_skeleton-barrel,1
crl6_card_three-musketeers,1
crl6_card_wall-breakers,1
crl6_card_x-bow,1
crl6_card_no-win-condition,1
ladder_winner,1
ladder_history_leaderboard,0
ladder_hist_all,1
ladder_hist_2017,1
ladder_hist_2018,1
ladder_hist_2019,1
ladder_hist_2020,1
ladder_hist_2021,1
ladder_hist_2022,1
ladder_hist_2023,1
ladder_hist_2024,1
ladder_hist_2025,1
ladder_hist_2026,1
ladder_hist_2027,1
ladder_hist_2028,1
ladder_hist_2029,1
birdkeeper,1
youtube_silver,1
youtube_gold,1
youtube_diamond,1
twitch_vip,1
tiktok_vip,1
discord_admin,1
discord_mod,1
reddit_mod,1
Crl20Wins,1
Crl20Wins2019,1
Crl20Wins2021,1
Crl20Wins2022,1
Crl20Wins2023,1
Crl20Wins2024,1
Crl20Wins2025,1
ntwc_2020,1
PathOfLegends_0,1
PathOfLegends_1,1
PathOfLegends_2,1
Ladder_0,1
Ladder_1,1
Ladder_2,1
season_rank_retro,1
season_rank_md,1
gt_rating,1
NormalGT_0,1
NormalGT_1,1
NormalGT_2,1
SpecialGT_0,1
SpecialGT_1,1
SpecialGT_2,1
Grand12Wins,1
Classic12Wins,1
season_rank_2v2,1
season_rank_td,1
season_rank_mt,1
bm_score,1
LadderTop1000,1
LadderTournamentTop1000,1
CrlCompetitor2022,1
CrlSpectator2022,1
ClanWarsVeteran,1
ClanWarWins,1
EmoteCollection,1
BannerCollection,1
RampUp,1
SuddenDeath,1
2xElixir,1
Draft,1
2v2,1
BattleWins,1
CollectionLevel,1
ClanDonations,1
EasterEgg,1